country,2020_mc,2018_mc,2016_mc,2014_mc,2012_mc,2010_mc,2008_mc,2006_mc,2004_mc,2002_mc,2000_mc,1998_mc,1996_mc,1994_mc,1992_mc,1988_mc,1988_gdp,1990_gdp,1992_gdp,1994_gdp,1996_gdp,1998_gdp,2000_gdp,2002_gdp,2004_gdp,2006_gdp,2008_gdp,2010_gdp,2012_gdp,2014_gdp,2016_gdp,2018_gdp,2020_gdp,2020_mp,2018_mp,2016_mp,2014_mp,2012_mp,2010_mp,2008_mp,2006_mp,2004_mp,2002_mp,2000_mp,1998_mp,1996_mp,1994_mp,1992_mp,1988_mp,HDI Rank,1990_hdi,1992_hdi,1994_hdi,1996_hdi,1998_hdi,2000_hdi,2002_hdi,2004_hdi,2006_hdi,2008_hdi,2010_hdi,2012_hdi,2014_hdi,2016_hdi,2018_hdi,2019_hdi
26,Bulgaria,6,0.0,3.0,0.0,3.0,0.0,5.0,1.0,12.0,3.0,13.0,1.0,15.0,0.0,16.0,35.0,22555941176.4706,20632090909.0909,10350515463.9175,9697416974.16974,12294221472.7375,15030695296.5235,13245833843.5454,16402846413.0958,26157894736.8421,34379808888.6039,54438966419.8639,50381825504.2642,54033250328.5151,56901994980.3283,53806894796.3801,66230155099.5775,69105101089.5531,0.005576208178438661,0.0,0.0030959752321981426,0.0,0.003141361256544503,0.0,0.005241090146750524,0.003968253968253968,0.012987012987012988,0.01282051282051282,0.014099783080260303,0.004878048780487805,0.017899761336515514,0.0,0.01909307875894988,0.04122497055359246,56,0.708,0.705,0.705,0.718,0.718,0.720,0.736,0.752,0.765,0.780,0.788,0.795,0.806,0.811,0.813,0.816
27,Burkina Faso,1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,2616040645.87263,3101300641.8751197,3356692517.86417,1895290623.44033,2586550747.0984397,2804902248.28537,2968369991.46729,3622350203.94595,5451688868.42974,6547420133.69942,9451436358.968607,10109618964.2848,12561016091.4673,13943016923.9017,12833363370.174,16059910870.6239,17369059295.2226,0.0009293680297397768,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,182,..,..,..,..,..,0.293,0.303,0.320,0.341,0.364,0.384,0.403,0.413,0.428,0.443,0.452
28,Burundi,0,,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,,1082403219.48787,1132101252.5181699,1083037670.60484,925030590.1536832,869033856.317093,893770806.077641,870486065.883137,825394490.159111,915257323.3961,1273375020.26862,1611835901.9063,2032135191.46216,2333308059.02403,2705783330.3879104,2959641046.92291,3036937141.27062,3258187232.63159,0.0,,0.0010319917440660474,,0.0,,0.0,,0.0,,0.0,,0.0011933174224343676,,,,185,0.299,0.299,0.296,0.289,0.294,0.300,0.311,0.330,0.359,0.384,0.411,0.426,0.438,0.438,0.431,0.433
29,Cameroon,0,,0.0,,1.0,,1.0,,1.0,0.0,1.0,,0.0,,0.0,0.0,12236058143.0406,12314482085.0878,12071775380.6503,8292531291.79202,10313258944.7337,10831221907.1117,10109045070.7398,11634008832.7568,17462229588.9923,19373256211.0279,26516681614.3498,26169323292.5278,29102772799.0038,34989493826.2179,32643697595.8378,38694156862.9922,39802147568.2174,0.0,,0.0,,0.0010471204188481676,,0.0010482180293501047,,0.0010822510822510825,0.0,0.0010845986984815619,,0.0,,0.0,0.0,153,0.448,0.441,0.433,0.431,0.434,0.440,0.458,0.469,0.471,0.490,0.505,0.525,0.540,0.553,0.560,0.563
30,Canada,24,29.0,22.0,25.0,18.0,26.0,20.0,24.0,12.0,17.0,14.0,15.0,22.0,13.0,25.0,15.0,507354351182.25397,593929550908.468,592387689252.916,578139279437.61,628546387972.131,634000000000.0,744773415931.587,760649334098.005,1026690238278.25,1319264809590.97,1552989690721.65,1617343367486.26,1828366481521.6,1805749878439.94,1527994741907.43,1721853332869.63,1644037286481.26,0.022304832713754646,0.09446254071661238,0.022703818369453045,0.08532423208191127,0.018848167539267012,0.1007751937984496,0.020964360587002098,0.09523809523809523,0.012987012987012988,0.07264957264957267,0.015184381778741863,0.07317073170731707,0.026252983293556086,0.07103825136612021,0.029832935560859187,0.0176678445229682,16,0.850,0.857,0.859,0.864,0.861,0.867,0.877,0.888,0.898,0.898,0.901,0.906,0.918,0.923,0.928,0.929
31,Cape Verde,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,126,..,..,..,..,..,0.569,0.583,0.590,0.611,0.625,0.632,0.644,0.654,0.657,0.663,0.665
32,Chad,0,,,,0.0,,,,0.0,,,,,,0.0,,1482597298.88718,1738605558.0543199,1881847676.80752,1179837954.72193,1607345450.0457802,1744794457.276,1388506726.6209302,1997005786.5411801,4422855929.21428,7428701809.405971,10393834720.852,10668102734.8132,12367363677.6199,13940768065.6063,10097778353.7651,11239167048.4916,10093118570.2918,0.0,,,,0.0,,,,0.0,,,,,,0.0,,187,..,..,..,..,..,0.293,0.307,0.324,0.330,0.346,0.369,0.388,0.401,0.393,0.397,0.398
33,Chile,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26040229793.0697,33113887817.9731,45964327558.8836,57008425295.8256,78039572221.6024,81577430181.4074,77860932151.8471,69736811435.1032,99210392857.6116,154788024805.808,179638496278.57394,218537551220.071,267122320056.702,260541637327.86398,250440149690.8889,297571693064.212,252940023046.01105,0.0,0.0,0.0,0.0,0.0,0.0,0.0010482180293501047,0.0,0.003246753246753247,0.0,0.0010845986984815619,0.0,0.0,0.0,0.0,0.001177856301531213,43,0.706,0.722,0.720,0.735,0.743,0.756,0.769,0.785,0.791,0.814,0.803,0.821,0.837,0.845,0.849,0.851
34,China,88,9.0,70.0,9.0,91.0,11.0,100.0,11.0,63.0,8.0,58.0,8.0,50.0,3.0,57.0,28.0,312353631207.819,360857912565.966,426915712715.856,564324670008.2379,863746717507.397,1029043097558.91,1211346869600.41,1470550015077.93,1955347004965.69,2752131773358.92,4594307032667.98,6087163874510.73,8532229986993.65,10475682920597.7,11233276536744.7,13894817549380.3,14722730697890.1,0.08178438661710037,0.02931596091205212,0.07223942208462332,0.03071672354948805,0.09528795811518324,0.04263565891472868,0.10482180293501048,0.04365079365079365,0.06818181818181818,0.034188034188034185,0.06290672451193059,0.03902439024390244,0.05966587112171836,0.016393442622950817,0.06801909307875895,0.03297997644287397,85,0.499,0.517,0.534,0.554,0.571,0.588,0.606,0.628,0.653,0.678,0.699,0.716,0.731,0.746,0.755,0.761
35,Chinese Taipei,12,0.0,3.0,0.0,2.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.011152416356877323,0.0,0.0030959752321981426,0.0,0.0020942408376963357,0.0,0.00419287211740042,0.0,0.005411255411255411,0.0,0.005422993492407809,0.0,0.0011933174224343676,0.0,0.0011933174224343676,0.0,,,,,,,,,,,,,,,,,
